X	Y
2555.291	31.345459
2558.395	31.680908
2578.388	36.384537
2609.145	48.594284
2641.562	58.044189
2652.401	58.919342
2642.052	53.454102
2619.434	45.895355
2598.351	41.72966
2585.079	42.56369
2577.995	46.573288
2574.731	48.615112
2575.685	48.655106
2585.253	48.977264
2602.875	50.787964
2618.072	52.933655
2621.336	53.878876
2617.926	54.038742
2618.319	55.488876
2630.232	59.702713
2646.851	67.268097
2662.971	74.75412
2692.025	83.607346
2710.164	90.274429
2715.717	94.591339
2726.654	99.239624
2739.056	107.915649
2754.685	117.113892
2768.318	119.703156
2775.893	118.16507
2775.986	113.19281
2765.523	104.248489
2753.715	102.193527
2751.719	98.986633
2759.82	95.47818
2772.95	89.878265
2787.035	89.41066
2799.335	90.673935
2808.302	95.309418
2824.586	105.129639
2842.926	120.637314
2854.182	129.986984
2856.216	132.450745
2850.37	124.003052
2841.152	110.77652
2834.608	98.631378
2829.664	91.694504
2826.779	90.634338
2830.179	98.400696
2838.857	106.641724
2851.524	111.468536
2864.684	115.964249
2868.999	126.245392
2863.92	118.798691
2854.387	121.383942
2844.386	116.290924
2834.462	109.290192
2678.471	20.721985
2675.187	20.528885
2671.656	20.667847
2669.52	20.766602
2665.661	21.543137
2659.008	22.058701
2651.842	22.253525
2646.317	22.316803
2640.569	22.589615
2634.548	23.695282
2624.452	23.789703
2610.71	23.036713
2596.423	22.460968
2582.943	22.889725
2570.653	22.308975
2561.189	21.848434
2553.675	21.833282
2545.945	22.431885
2533.884	22.402802
2518.799	21.927032
2504.272	20.843979
2494.906	20.449966
2491.672	21.65358
2493.955	23.858658
2505.125	27.234558
2516.715	31.12265
2528.521	33.39856
2524.841	32.524155
2514.416	31.671021
2506.37	28.657028
2508.451	28.805191
2518.517	30.240677
2528.686	31.082413
2534.601	32.386185
2537.056	34.511795
2539.079	34.460983
2540.575	32.78096
2540.881	29.980774
2543.302	30.450256
2554.544	34.071106
2569.346	38.490097
2579.558	40.798111
2579.137	39.404266
2567.822	35.221008
2558.003	31.35556
2560.609	31.201462
2578.034	35.54538
2607.337	48.943787
2635.362	59.399643
2649.928	60.016541
2642.796	53.692215
2621.288	46.292862
2599.462	40.655823
2586.738	41.102112
2582.642	44.732376
2571.705	47.839615
2577.144	47.863861
2588.632	48.443344
2604.807	50.579758
2618.019	52.733444
2619.621	53.368057
2616.349	54.26326
2617.49	56.195358
2629.926	61.611038
2645.164	68.827972
2656.843	75.427307
2687.259	82.898087
2709.844	88.69458
2717.805	95.005905
2729.589	103.372894
2742.58	111.79213
2756.417	119.595642
2766.459	119.995163
2768.888	115.410019
2765.14	107.105194
2756.886	102.050949
2750.923	103.219437
2752.845	105.772095
2760.587	100.718063
2771.031	94.382355
2783.538	86.144226
2798.197	88.931992
2809.896	89.323166
2825.403	102.428513
2843.188	119.76683
2857.149	128.476807
2863.781	130.145325
2860.155	124.570526
2847.936	110.105347
2835.21	98.738495
2825.061	90.830215
2823.153	91.306183
2827.748	100.599228
